Nombre,usuario,followers,contenido,menciones,hashtags,likes,veces compartido
Guillermo Lasso,LassoGuillermo,882232,"b'@AngelZamOficial Gracias por tu mensaje, lo aprecio mucho. Seguimos trabajando para lograr #ElEcuadorDelEncuentro y\xe2\x80\xa6 https://t.co/8gHvF6EuOj'",AngelZamOficial,ElEcuadorDelEncuentro,1,0
Guillermo Lasso,LassoGuillermo,882232,"b'Mesas de di\xc3\xa1logo abiertas, donde se encuentren soluciones concretas para los sectores del pa\xc3\xads. Nos seguiremos enco\xe2\x80\xa6 https://t.co/3hydPfNwAF'",,,474,98
Guillermo Lasso,LassoGuillermo,882232,b'@DarwinLen3 Seguiremos trabajando para lograr un Ecuador lleno de oportunidades para todos. Juntos lo logramos. \xf0\x9f\x87\xaa\xf0\x9f\x87\xa8\xf0\x9f\x92\xaa',DarwinLen3,,0,0
Guillermo Lasso,LassoGuillermo,882232,b'Escuchar sus planteamientos y necesidades fortalece el Ecuador del Encuentro. Vamos a trabajar de la mano con los p\xe2\x80\xa6 https://t.co/1THHd2ENEe',,,485,111
Guillermo Lasso,LassoGuillermo,882232,"b'Comprometidos con el encuentro, mantuvimos un di\xc3\xa1logo con los transportistas. \n\n#JuntosLoLogramos por la REACTIVACI\xe2\x80\xa6 https://t.co/urZpqw3XLY'",,JuntosLoLogramos,536,113
Guillermo Lasso,LassoGuillermo,882232,b'Todos debemos acudir a vacunarnos de forma ordenada y siguiendo los protocolos de bioseguridad. Gracias por poner e\xe2\x80\xa6 https://t.co/4VUxUVyQh8',,,985,185
Guillermo Lasso,LassoGuillermo,882232,b'\xc2\xa1El #PlanVacunaci\xc3\xb3n9100 se fortalece!\n\nEstamos contentos de anunciar la llegada de un nuevo lote de dosis de Pfizer\xe2\x80\xa6 https://t.co/trT1HJkHNG',,PlanVacunación9100,1191,215
Guillermo Lasso,LassoGuillermo,882232,"b'El encuentro es apertura y di\xc3\xa1logo. Junto al gremio de transportistas, formaremos un equipo de trabajo con el fin d\xe2\x80\xa6 https://t.co/eA0SBlpps5'",,,494,103
Guillermo Lasso,LassoGuillermo,882232,b'@pachecun Juntos lo logramos. Difundamos la importancia del #PlanVacunacion9100.\xf0\x9f\x92\xaa\xf0\x9f\x87\xaa\xf0\x9f\x87\xa8',pachecun,PlanVacunacion9100,2,1
Guillermo Lasso,LassoGuillermo,882232,"b'Junto al secretario Luis Pachala, nos encontramos con representantes de la Federaci\xc3\xb3n Ecuatoriana de Ind\xc3\xadgenas Evan\xe2\x80\xa6 https://t.co/RrHRuLl8qd'",,,571,105
Guillermo Lasso,LassoGuillermo,882232,b'@MarloonLoor Trabajamos por la salud de todos los ecuatorianos. Con el #PlanVacunacion9100 lograremos la reactivaci\xe2\x80\xa6 https://t.co/iC3c6ljIdC',MarloonLoor,PlanVacunacion9100,2,0
Guillermo Lasso,LassoGuillermo,882232,b'#PlanVacunaci\xc3\xb3n9100 = SALUD Y REACTIVACI\xc3\x93N. \xf0\x9f\x87\xaa\xf0\x9f\x87\xa8\n\n#JuntosLoLogramos https://t.co/3laARD5Hze',,PlanVacunación9100,341,71
Guillermo Lasso,LassoGuillermo,882232,b'\xc2\xa1Vacunarse es un compromiso de todos! \n\n#PlanVacunaci\xc3\xb3n9100 \xf0\x9f\x87\xaa\xf0\x9f\x87\xa8 https://t.co/KU2NfDvJAb',,PlanVacunación9100,521,110
Guillermo Lasso,LassoGuillermo,882232,b'Hoy mantuvimos una reuni\xc3\xb3n de trabajo con representantes del sector del transporte. Buscamos una adecuada planifica\xe2\x80\xa6 https://t.co/8JbG4VoQSD',,,1021,188
